Title,GPT or Web,keyword,bias / sensationalism score,Author,Publisher
CDC seems to defy Trump executive order by participating in WHO vaccine conference,web,vaccine,9.31E-05,Stephen Sorace,FOX News
"Meeting of US FDA vaccine advisers canceled, committee member says",web,vaccine,0.005810120863,"Dan Levine, Michael Erman",Reuters
Vaccine meeting to prepare for coming winter’s flu season canceled,web,vaccine,0,"Lena H. Sun, Rachel Roubein",The Washington Post
Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,web,vaccine,0.02398655281,Aliza Rosen,John's Hopkins Bloomberg School of Public Health
FDA cancels pivotal advisory meeting about next season's flu vaccine,web,vaccine,0,"Youri Benadjaoud, Sony Salzman, Eric M. Strauss, Dr. Mark Abdelmalek",ABC News
FDA cancels vaccine advisory committee meetin,web,vaccine,0,Lizzy Lawrence,STAT
Do you need a measles vaccine booster? What to know as a Texas outbreak spreads,web,vaccine,0,Sara Moniuszko,CBS News
First doses announced in phase 2 trial for TB vaccine candidate,web,vaccine,0,Chris Dall,CIDRAP
Who Are the Mennonites and Why Are They Facing a Measles Outbreak?,web,vaccine,0.2355188056,Peter Smith,TIME
FDA cancels meeting to update next season's flu vaccines,web,vaccine,0,Alexander Tin,CBS News
Childhood vaccines: What research shows about their safety and potential side effects,web,vaccine,0,Naseem S. Miller,The Journalist's Resource
Texas reports first death in measles outbreak,web,vaccine,0,Stephanie Soucheray,CIDRAP
Vaccine interest increasing in Austin as measles outbreak in West Texas worsens,web,vaccine,0,Brianna Perez,KVUE ABC
Measles death of unvaccinated child in Texas outbreak is 1st fatality in US in a decade,web,vaccine,0,Mary Kekatos,ABC News
The political rise of the anti-vax movement,ai,vaccine,0,,Financial Times
VAX HORROR Traumatized Scots 'gaslit' by health bosses after horror complications from Covid vaccine,ai,vaccine,0.05044560206,Sian Maher,The Scottish Sun
State lawmakers are pushing for vaccine exemptions even as childhood vaccination rates fall,ai,vaccine,0," Susan Haigh, Devi Shastri",AP News
Antibody Treatment Prevents Severe Bird Flu in Monkeys,ai,vaccine,0.7256361602,University of Pittsburgh,ScienceDaily
A therapeutic HPV vaccine could eliminate precancerous cervical lesions,ai,vaccine,0,American Association for Cancer Research,ScienceDaily
Hepatitis E vaccination is effective in an epidemic,ai,vaccine,0,Université de Genève,ScienceDaily
Self-destructing vaccine offers enhanced protection against tuberculosis in monkeys,ai,vaccine,0,University of Pittsburgh,ScienceDaily
Researchers Discover Class of Anti-Malaria Antibodies,ai,vaccine,0.09516584898,NIH/National Institute of Allergy and Infectious Diseases,ScienceDaily
Americans Are Uninformed About and Undervaccinated for HPV,ai,vaccine,0.5165764049,University of Southern California - Health Sciences,ScienceDaily
"U.S. Department of Agriculture Announces 15 Additional States Onboard With National Milk Testing Strategy for H5N1, Shares Update on Vaccination Efforts",ai,vaccine,0.191245459,,USDA
New kidney cancer vaccine puts 9 advance-stage patients into remission,ai,vaccine,0,McKenzie Beard,New York Post
FDA meeting to choose flu vaccine composition canceled without explanation,ai,vaccine,0,Meg Tirrell,CNN
"RFK Jr., vaccine critic, calls Texas measles outbreak 'not unusual' after unvaccinated child dies",ai,vaccine,0,Tanya Babbar,Houston Chronicle
"A Texas child who was not vaccinated has died of measles, a first for the US in a decade",ai,vaccine,0,"Devi Shastri, Amanda Seitz",AP News
"Trump administration weighs pulling funding for Moderna bird flu vaccine, Bloomberg News reports",ai,vaccine,0,,Reuters
New study links COVID-19 vaccine to long-term side effects,web,COVID-19,0.001888881537,Dr. Mahsa Tehrani,FOX News
"Now That Trump Has Banished the Woke From Science, This Truth-Telling New Scientific Paper Reveals What COVID Vaccines Actually Do to Children",web,COVID-19,0.846303872,Victor Tangermann,Futurism
COVID-19 turns 5: Tell us how it changed your life,web,COVID-19,0.05109671053,,Ventura County Star
IMUNON Announces New Immunogenicity Data from Phase 1 Clinical Trial of Its DNA Vaccine in Treatment of COVID-19,web,COVID-19,0.4079193798,,GlobeNewswire
Multimillion-dollar Biden-era COVID-19 vax project halted by Trump’s HHS,web,COVID-19,0.6939609673,Emma Colton,FOX News
Why a New Bat Coronavirus in China Is Raising Concern,web,COVID-19,0.6949246334,,Bloomberg
