uid	keyword	headline
2211391	global medicine	Global patterns and trends in breast cancer incidence and mortality across 185 countries
2211391	global medicine	Africa’s medical system risks ‘collapse in next few years’, warns health leader
2211391	global medicine	Chewy Veterinary Leader JC Alvarado Colon: Bringing a global perspective to local action
2211391	global medicine	The Macro Impacts of Microplastics
2211391	global medicine	A new era of Made in America drug manufacturing
2211391	cancer	Tel Aviv University breaks new ground in cancer detection, treatment with new innovation
2211391	cancer	Melbourne mum, 35, dies from bowel cancer as Aussie rates spike in young people
2211391	cancer	Support pours in for Labor MP battling brain cancer
2211391	cancer	New approach for studying drug-proteoform interactions can improve cancer treatments
2211391	cancer	Young people with cancer in England face seven-month wait for disability benefits
2211391	COVID-19	Threats poured into Granite School District after ‘misleading’ DOGE post accused officials of misusing COVID funds
2211391	COVID-19	Daily briefing: Where did COVID-19 come from? Evidence points to raccoon dogs
2211391	COVID-19	Megyn Kelly claims Pfizer COVID vaccine left her with autoimmune condition: ‘Wish I hadn’t done it’
2211391	COVID-19	Scientists have identified a new coronavirus in bats, but it’s not a public health threat
2211391	COVID-19	No Spike in Cardiac Arrests, Deaths in Young Athletes During COVID-19
2211391	public health	‘Deadly consequences’: Health agencies reel from thousands of job cuts while critical research grants remain on hold
2211391	public health	Left in the dark: Doctors sound the alarm over child deaths
2211391	public health	Postponing last week’s vaccine meeting endangers Americans’ health
2211391	public health	USAID funding cuts could impact Taiwan's health system: Doctor
2211391	public health	Experts worry that public health turmoil could make bird flu deadlier
2211391	american medicine	Orthopedic Sports Medicine office to relocate to new US 31 location
2211391	american medicine	NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says
2211391	american medicine	American Medical Association president calls abortion pill ruling 'most brazen attack on Americans' health'
2211391	american medicine	FDA Approves First At-Home Flu Vaccine, But Availability Delayed Until Next Season
2211391	american medicine	Black HEALTHstory Month Lecture Explores Racial Integration in American Medicine
2211391	bird flu	Cat euthanized in New Jersey after becoming sick from bird flu
2211391	bird flu	Another Popular Cat Food Has Been Linked to Bird Flu Igniting More Fear in Pet Parents
2211391	bird flu	WHAT THEY ARE SAYING: Strong Support for USDA’s Actions to Combat Avian Flu
2211391	bird flu	Bird flu threatens backyard flocks in New Mexico
2211391	bird flu	EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND
2211391	wellness	Colorful new Humboldt Park wellness center is also an Rx for architectural blahs
2211391	wellness	GIRL GONE WILDE Olivia Wilde goes braless in totally see-through lace dress at Vanity Fair Oscars party after debuting new boyfriend
2211391	wellness	Bad wellness advice is all over social media. These creators are pushing back
2211391	wellness	Healthy Brain & Body brings holistic wellness approach to Owensboro
2211391	wellness	Mayo Clinic recognized as ‘World’s Best Hospital’ by Newsweek for the seventh straight year
2211391	vaccine	Meeting of US FDA vaccine advisers canceled, committee member says
2211391	vaccine	CDC seems to defy Trump executive order by participating in WHO vaccine conference
2211391	vaccine	VAX HORROR Traumatized Scots 'gaslit' by health bosses after horror complications from Covid vaccine
2211391	vaccine	Americans Are Uninformed About and Undervaccinated for HPV
2211391	vaccine	Measles death of unvaccinated child in Texas outbreak is 1st fatality in US in a decade
2184029	wellness	Local Artist Partners with Soul Dive Yoga to Inspire Wellness for Locals 55+
2184029	wellness	Grey's Anatomy' Star Kate Walsh Shares Healthy Habits for Cancer Prevention
2184029	wellness	Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades'
2184029	wellness	Are you falling for wellness misinformation online? Here’s how to tell
2184029	wellness	It’s not just Belle Gibson: Wellness TikTok is full of dangerous ‘health’ advice
2184029	COVID-19	Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership
